Size,IsPolytopal
AbstractRotaryPolytope([ 3, 6 ], "(s2*s1^-1*s2)^10*(s1^-1*s2^2)^3*s1^-1*s2^-3*s1*s2^-2*s1^-1*(s2*s1^-1*s2)^4*s2*s1^-1*s2^-3*(s1^-1*s2^2)^9*s1^-1*s2")#9012#true
AbstractRotaryPolytope([ 6, 3 ], "s1^-3*s2*(s1^-1*s2*s1^2*s2^-1*s1^-1)^6*s1^-1*s2*(s1^2*s2^-1)^6*s1^-1*(s1^-2*s2)^6*(s1^-1*s2*s1^2*s2^-1*s1^-1)^2*s1^-1*s2")#9012#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1*s2*s1^-1*s2^2*(s1*s2^-1*s1^-1*s2*s1*s2^-1)^2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1^-1*s2*s1^2*s2*s1^-1*s2^-1*s1*s2^2*s1^2*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s1*(s1*s2^-1)^2*s2^-1*((s1^-1*s2)^2*s1^-1)^2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1^2*s2*(s2*s1^-2*s2*s1^-1)^2*(s1^-1*s2^-1*s1*s2)^2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "s2^-1*(s1^-1*s2)^2*s2*s1*s2^-1*s1^2*s2*(s2*s1*s2^-1*s1^-1)^2*s2*s1*s2^-1, (s1*s2^-2*s1*s2^-1)^2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "s1^-1*s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1*(s2*s1^-1*s2^-1*s1*s2)^2, (s1*s2^-2*s1*s2^-1)^2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1^2*((s2*s1^-1)^2*s1^-1)^2*s2^-1*s1*s2*s1^-1*(s2*s1^-1*s2^-1*s1)^2*s2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 5, 10 ], "(s1*s2^-2*s1*s2^-1)^2, s2*s1*(s1*s2*s1^-1*s2^-1)^2*(s2^-1*s1)^2*s2*(s2*s1^-1)^2*s2^-1*s1*s2, (s2^3*s1^-2)^2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*(s1^2*s2*s1^-2*s2^-1)^2*s1^4*s2^-1*s1^2*s2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s2^-1*s1^4)^2*s1*s2*s1^2*s2^-1*s1^-2*s2^2*s1*s2^-1*s1^-1*s2*s1, (s1*s2^-2*s1^2)^2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*s1^3*(s2*s1^-1)^2*s1^-1*s2^-1*s1*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*s2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1^3*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1^5*s2^-2*s1^-1*s2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s2*s1^2*s2*s1^-1*s2^-1*s1*s2*(s1^-3*s2*s1^-1)^2*s1^-1*s2^-1*s1*s2")#9020#true
AbstractRotaryPolytope([ 10, 5 ], "(s1*s2^-2*s1^2)^2, s1*s2^2*s1*s2^-1*s1^-1*s2*s1^-4*s2*s1*(s1^4*s2^-1)^2")#9020#true
