Size,IsPolytopal
AbstractRotaryPolytope([ 3, 12 ], "(s2*s1^-1*s2)^3*s2*(s1*s2^-1)^2*s2^-2*s1^-1*s2^2*s1^-1*(s2*s1^-1*s2^2)^2*s1^-1*s2, (s2^5*s1^-1)^2")#2016#true
AbstractRotaryPolytope([ 12, 3 ], "(s2*s1^-5)^2, s2*s1^3*s2*s1^-2*s2^-1*s1*s2*(s1^-2*s2^-1*s1^3*s2*s1^-1)^2*s1^-1*s2*s1^-2*s2^-1*s1^2*s2*s1^-1")#2016#true
AbstractRotaryPolytope([ 3, 24 ], "(s2*s1^-1*s2^6*s1^-1)^2, s2^3*s1^-1*s2*(s2*(s2*s1^-1)^2)^2*s2^2*s1^-1")#2016#true
AbstractRotaryPolytope([ 24, 3 ], "s1^-1*s2*(s1^3*s2^-1)^2*s1^2*s2*s1^-2*s2*s1^-1, s1*(s1^4*s2^-1)^2*s1^-7*s2, s1^2*s2*s1^-1*s2*s1^5*s2^-1*s1^-2*s2*s1^4")#2016#true
AbstractRotaryPolytope([ 6, 6 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1*s2^-1*s1*s2^2*s1^-1*(s2^-2*s1*s2^-1)^2*s1^-1*s2*s1*s2^-1*s1^-1*s2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1")#2016#true
AbstractRotaryPolytope([ 6, 6 ], "(s1^-1*s2)^2*s2^2*s1*s2^-1*s1^-1*s2*(s1*s2^-1)^2*s1*s2^2*(s1*s2^-1)^2*(s2^-1*s1^-1*s2*s1)^2*s2^-2*s1^-1*s2^2, (s2*s1^-2)^2")#2016#true
AbstractRotaryPolytope([ 6, 6 ], "(s1*s2^-3*s1^-1*s2*s1)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*(s2*s1^-1)^2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1^3*s2^-1, (s2*s1^-2*s2)^3")#2016#true
AbstractRotaryPolytope([ 6, 6 ], "(s1*s2^-2)^2, s2*s1^-3*s2^-1*s1*s2^-1*s1^-2*s2*s1^-3*(s2^-1*s1^2)^5*s2*s1^-1")#2016#true
AbstractRotaryPolytope([ 4, 56 ], "s1^2*s2*s1^-1*s2^2*s1*s2^-1*s1^-2*s2^2, (s2*s1^-1)^6, s2*s1^-1*s2^4*s1^2*s2^-1*s1*s2^2, s2^4*s1^-1*s2^-4*s1*s2*s1*s2^-13*s1*s2*s1^-1*s2^-3*s1*s2^2")#2016#true
AbstractRotaryPolytope([ 56, 4 ], "s1^-2*s2*s1^5*s2*s1^-18*s2^2*s1^-3, s2*(s1*s2^-1*s1^3)^2*s2")#2016#true
AbstractRotaryPolytope([ 6, 12 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1^-3*s2^-2, s1*s2^-1*s1*s2^3*s1*s2^-2*s1^2*s2*s1^3*s2, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2")#2016#true
RotaryManiplex([ 6, 12 ], "s2^-1*s1^-2*s2*s1*s2^-4, (s2*s1^-2)^2, s2*(s2*s1^-1)^2*(s2*s1^-1*s2^-1*s1)^6*s2^2*s1^-1*s2^-2*s1*s2")#2016#false
AbstractRotaryPolytope([ 6, 12 ], "s1*s2^-3*s1*s2^-1*s1^-1*s2^2*(s1*s2^-2)^2*s1^-1*s2^2, (s2*s1^-2)^2, s2^2*s1*(s1*s2^3*s1^-1*s2^-1)^2*s1*s2^2")#2016#true
RotaryManiplex([ 12, 6 ], "s1^-2*s2*s1^3*(s2*s1^-1)^2*s1^-2*s2^-1*s1^2*s2^-1*s1*(s1*s2*s1^-1*s2^-1)^2*s1*(s2*s1^-1)^2*s1^-1*s2^-2, s1^-1*s2^2*s1^5*s2^-1, (s1*s2^-2)^2")#2016#false
AbstractRotaryPolytope([ 12, 6 ], "s1^2*s2*s1^-1*s2*s1^2*(s1*s2^-1)^2*s1, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#2016#true
AbstractRotaryPolytope([ 12, 6 ], "s1^-2*(s2^-1*s1)^2*s1^4*s2^-1*s1^-2*s2*s1^-4, (s1*s2^-2)^2, (s1^4*s2^-1)^2*s1^4*s2^2, s2*s1^2*s2*s1^-2*s2^-1*s1^3*s2*s1^-3*s2^-1*s1^2*s2")#2016#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s2*s1*s2^-1*s1*s2^3*s1^2*s2*s1^-1*s2^-2*s1*s2^3*s1^-1*s2^-2*s1*s2*s1^-1*s2^-1*s1*s2*(s2*s1^-1*s2^-2*s1)^2*s2^2, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#2016#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s1^2*s2^5*s1^3*s2^-2*s1^-1*s2, s2*s1*(s1^2*s2^-1)^2*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#2016#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-1*s2^-3*s1^-1*s2^12*s1^-1*s2^-3*s1^-1*s2^3*s1^-2*s2^3, (s1*s2^-2)^2, s2*s1*(s1^2*s2^-1)^2*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#2016#true
RotaryManiplex([ 6, 24 ], "s1*s2^-3*s1*s2^-1*s1^-1*s2^2*s1*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2^2, (s2*s1^-2)^2, s2^2*s1^2*s2*(s2^3*s1^-1)^2*s2^-1*s1*s2^2, s2^4*s1^2*s2^-1*s1^-1*s2^7")#2016#false
AbstractRotaryPolytope([ 6, 24 ], "s1^-1*s2^-3*s1^-1*s2*s1^2*s2^-2*s1^-1*s2*s1*s2^-1*(s1^-1*s2)^2, s1^-1*s2^-1*s1*(s1*s2^-1)^2*s1^-3*s2*s1^-1, s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s2^5*(s1*s2^-1*s1)^2*s2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "(s1*s2^-1*s1^2*s2^-1)^2*s1^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*s1^2*s2^-2*s1*s2*s1^-3*s2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "(s1*s2^-1*s1)^2, s2*s1^2*(s2^2*s1^-1)^2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-1*s1*s2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "s2*(s1*s2^-1*s1^2)^2*s2")#2016#true
AbstractRotaryPolytope([ 24, 6 ], "s1^-2*s2^-1*s1^5*s2*s1^-1*s2^2, (s1*s2^-1*s1^4)^2, s1^2*s2^-3*s1^2*s2^-1*s1^-1*s2^2*s1, s1^2*s2^2*(s1^2*s2^-1)^2*s1^-2*(s1^-1*s2)^2")#2016#true
