Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 10, 4 ], " r0*a21*a101*a21^-1, r0*a21^-1*a101*r0*a101*a21 ")#80#4
TwoOrbit3ManiplexClass2_0([ 14, 3 ], " r0*a21*a101*a21^-1, r0*a101*a21*(a101*r0)^2*a21^-1 ")#84#6
TwoOrbit3ManiplexClass2_0([ 4, 7 ], " a101*a21^2*r0*a21^-1*a101*a21^-1, a21^7 ")#112#7
TwoOrbit3ManiplexClass2_0([ 6, 8 ], " (r0*a101)^3, a21^-2*a101*r0*a21^-1*a101*a21^-1 ")#144#8
TwoOrbit3ManiplexClass2_0([ 26, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^3*a21*a101*r0*a21^-1 ")#156#6
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " r0*a101*r0*a21^-1*a101*a21, r0*a101*a21^2*(r0*a21^-1)^2, a21^8 ")#160#8
TwoOrbit3ManiplexClass2_0([ 20, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^2*r0*a21^-1*a101*a21 ")#160#4
TwoOrbit3ManiplexClass2_0([ 14, 6 ], " r0*a101*r0*a21^-1*a101*a21, a21^6, r0*a21^-2*a101*r0*a101*a21^2 ")#168#6
TwoOrbit3ManiplexClass2_0([ 14, 6 ], " r0*a21^-2*a101*a21^2, a21^6, r0*a101*a21*(a101*r0)^2*a21^-1 ")#168#6
TwoOrbit3ManiplexClass2_0([ 26, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^2*r0*a21^-1*a101*r0*a101*a21 ")#208#4
TwoOrbit3ManiplexClass2_0([ 18, 6 ], " (r0*a101)^2*a21*a101*r0*a21^-1, (r0*a21^-1*a101)^2*a21^2 ")#216#18
TwoOrbit3ManiplexClass2_0([ 22, 5 ], " r0*(a101*a21)^2*r0*a21^-2 ")#220#10
TwoOrbit3ManiplexClass2_0([ 22, 5 ], " r0*a21^-1*a101*r0*a101*a21 ")#220#10
TwoOrbit3ManiplexClass2_0([ 4, 14 ], " (r0*a21^-1*a101*a21)^2, r0*a21^-1*(a21^-2*a101)^2*a21^-2 ")#224#7
TwoOrbit3ManiplexClass2_0([ 4, 7 ], " (r0*a21^-1*a101*a21)^2, a21^-1*a101*a21*(a21*a101)^2*r0*a21^-2 ")#224#14
TwoOrbit3ManiplexClass2_0([ 4, 14 ], " a21^-1*a101*(a21*r0)^2*a21^-1, a21^14 ")#224#14
TwoOrbit3ManiplexClass2_0([ 38, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^2*a21*(a101*r0)^3*a21^-1 ")#228#6
TwoOrbit3ManiplexClass2_0([ 10, 12 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^12 ")#240#12
TwoOrbit3ManiplexClass2_0([ 30, 4 ], " r0*a21*a101*a21^-1, (r0*a101)^2*a21*a101*r0*a21^-1 ")#240#12
TwoOrbit3ManiplexClass2_0([ 14, 9 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^9 ")#252#18
TwoOrbit3ManiplexClass2_0([ 42, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^4*a21*a101*r0*a21^-1 ")#252#6
TwoOrbit3ManiplexClass2_0([ 8, 16 ], " r0*a21^-2*a101*r0*a101*a21^-2 ")#256#16
TwoOrbit3ManiplexClass2_0([ 34, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^3*r0*a21^-1*a101*a21 ")#272#4
TwoOrbit3ManiplexClass2_0([ 8, 4 ], " r0*a21*a101*a21^-1, (r0*a101)^4, r0*a21^-1*a101*a21*(a101*r0)^2*a21^-2 ")#288#8
TwoOrbit3ManiplexClass2_0([ 8, 8 ], " r0*(a101*a21^-1)^3*a21^-1, r0*a21^-2*a101*r0*a101*a21^2, a21^8, a21*r0*a21^-1*(r0*a101*a21)^2*r0 ")#288#4
TwoOrbit3ManiplexClass2_0([ 6, 8 ], " (r0*a101)^3, a101*r0*a101*a21^2*r0*a21^-2, a21^8, r0*a21^-1*a101*a21*r0*a101*a21*a101*r0*a21^-1 ")#288#8
TwoOrbit3ManiplexClass2_0([ 26, 6 ], " r0*a21^-2*a101*a21^2, a21^6, r0*a101*a21*(a101*r0)^3*a21^-1, (r0*a101)^3*a21^-1*a101*a21*a101 ")#312#6
TwoOrbit3ManiplexClass2_0([ 26, 6 ], " (r0*a101)^2*r0*a21^-1*a101*a21, r0*(a101*a21)^2*a101*(r0*a21^-1)^2 ")#312#6
TwoOrbit3ManiplexClass2_0([ 10, 16 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^16 ")#320#16
TwoOrbit3ManiplexClass2_0([ 20, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*a101*a21*r0*a21^-1*(a101*r0)^2*a101*a21 ")#320#4
TwoOrbit3ManiplexClass2_0([ 20, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, r0*a21^-1*(a101*r0)^2*a101*a21, a21^8 ")#320#8
TwoOrbit3ManiplexClass2_0([ 40, 4 ], " r0*a21*a101*a21^-1, r0*a21^-1*(a101*r0)^2*a101*a21 ")#320#8
TwoOrbit3ManiplexClass2_0([ 40, 4 ], " a21*a101*a21^-1*r0, a21^4, r0*a101*a21*(a101*r0)^3*a21^-1, (r0*a21^-1*a101*r0*a21^-1)^2 ")#320#8
TwoOrbit3ManiplexClass2_0([ 20, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, r0*a21^-1*a101*a21^-2*(a101*r0)^2*a21^-1 ")#320#8
TwoOrbit3ManiplexClass2_0([ 18, 9 ], " r0*a21^-1*a101*r0*a101*a21, a21^9, a21^-1*(a101*a21)^2*(a101*r0)^2*a21^-1 ")#324#18
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*(a101*a21^-1)^2*a21^-1, a21^6, r0*a21^-1*a101*a21*r0*a21^-1*(a101*r0)^2*a101*a21 ")#336#3
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a101*r0*a21^-2*a101*a21^2 ")#336#12
TwoOrbit3ManiplexClass2_0([ 28, 6 ], " r0*a21^-1*(a101*r0)^2*a101*a21, (r0*a21^-2*a101)^2*a21^-2 ")#336#12
TwoOrbit3ManiplexClass2_0([ 14, 12 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^12 ")#336#12
TwoOrbit3ManiplexClass2_0([ 28, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, (r0*a101)^2*a21*(a101*r0)^4*a21^-1 ")#336#6
TwoOrbit3ManiplexClass2_0([ 4, 21 ], " a21^-1*a101*(a21*r0)^2*a21^-1, a21^21 ")#336#21
TwoOrbit3ManiplexClass2_0([ 14, 12 ], " r0*a21^-1*a101*r0*a101*a21, r0*a101*r0*a21^-2*a101*a21^2, a21^12 ")#336#12
TwoOrbit3ManiplexClass2_0([ 30, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a101*a21*r0*a21^-1*(a101*r0)^2*a21^-1*r0*a21^-1*a101 ")#360#4
TwoOrbit3ManiplexClass2_0([ 62, 3 ], " r0*a21*a101*a21^-1, (a101*a21*r0)^3, r0*a101*a21*(a101*r0)^5*a21^-1 ")#372#6
TwoOrbit3ManiplexClass2_0([ 8, 6 ], " r0*(a101*a21)^2*r0*a21^-2, (r0*a101)^4, (r0*a21^-1*a101*a21*a101)^2 ")#384#6
TwoOrbit3ManiplexClass2_0([ 10, 20 ], " r0*(a101*a21^-1)^3*a21^-1, (r0*a101*a21*r0*a21^-1)^2, a101*r0*a21^-3*(a101*r0)^2*a21^-1 ")#400#4
TwoOrbit3ManiplexClass2_0([ 10, 20 ], " r0*a101*r0*a21^-1*a101*a21, r0*a101*a21^2*(r0*a21^-1)^2, a21^20 ")#400#20
TwoOrbit3ManiplexClass2_0([ 50, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^2*r0*a21^-1*(a101*r0)^3*a101*a21 ")#400#4
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " a21^8, (a101*r0*a21^-1)^2*a21^-1*a101*a21^-1 ")#400#8
TwoOrbit3ManiplexClass2_0([ 10, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^5 ")#400#20
TwoOrbit3ManiplexClass2_0([ 52, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*(a101*r0)^4*a101*a21 ")#416#4
TwoOrbit3ManiplexClass2_0([ 26, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, r0*a101*r0*a21^-1*(a101*r0)^2*a101*a21 ")#416#8
TwoOrbit3ManiplexClass2_0([ 14, 15 ], " r0*a21^-2*a101*a21^2, (r0*a101)^2*r0*a21^-1*a101*a21, a21^15 ")#420#30
TwoOrbit3ManiplexClass2_0([ 36, 6 ], " (r0*a21^-1*a101)^2*r0*a101*r0*a21^-1, ((r0*a21)^2*a21)^2 ")#432#9
TwoOrbit3ManiplexClass2_0([ 36, 6 ], " (r0*a21^-1*a101)^2*a21^2, (r0*a101)^5*a21*a101*r0*a21^-1 ")#432#36
TwoOrbit3ManiplexClass2_0([ 6, 24 ], " (r0*a101)^3, a101*r0*a101*a21^2*r0*a21^-2, r0*a21^-1*a101*a21*r0*a101*a21*a101*r0*a21^-1, (a21^-5*a101)^2*a21^-1*a101*a21^-1 ")#432#24
