PetrieLength, Size
ReflexibleManiplex([ 8, 4 ], "(r1*r0*r1*r2)^2,r1*r0*r2*(r1*r0)^3*r2")#8#32
ReflexibleManiplex([ 8, 8 ], "r1*r2*(r1*r0)^2*r1*r2")#4#32
ReflexibleManiplex([ 4, 8 ], "(r1*r0*r1*r2)^2,r2*(r1*r2*r0)^2*r1*r2*r1")#8#32
ReflexibleManiplex([ 6, 6 ], "(r0*r1*r2*r1)^2,(r0*r2*r1)^3,(r2*r0)^2")#3#36
ReflexibleManiplex([ 12, 4 ], "r0*r1*r2*(r0*r1)^5*r2,(r1*r0*r1*r2)^2")#6#48
ReflexibleManiplex([ 4, 12 ], "(r1*r0*r1*r2)^2,(r2*r1)^5*r0*r2*r1*r0")#6#48
ReflexibleManiplex([ 6, 12 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#48
ReflexibleManiplex([ 12, 6 ], "((r1*r0)^2*r1*r2)^2,(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#48
ReflexibleManiplex([ 6, 6 ], "(r2*r0)^2,r2*r1*(r2*r1*r0)^2*r1*r0")#4#48
ReflexibleManiplex([ 10, 6 ], "(r0*r1)^2*r0*(r1*r0*r2)^2*r1*r2,(r1*r0*r1*r2)^2")#15#60
ReflexibleManiplex([ 15, 6 ], "(r1*r0)^4*r2*r1*r0*r2,((r1*r2)^2*r0)^2")#10#60
ReflexibleManiplex([ 6, 10 ], "(r1*r0*r1*r2)^2,r1*r0*(r2*r1)^2*(r2*r1*r0)^2*r2")#15#60
ReflexibleManiplex([ 6, 15 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0")#10#60
ReflexibleManiplex([ 15, 10 ], "(r1*r2)^2*(r1*r0)^3")#6#60
ReflexibleManiplex([ 10, 15 ], "r1*r0*(r1*r2)^3*r1*r0")#6#60
ReflexibleManiplex([ 8, 8 ], "(r1*r0*r1*r2)^2,(r1*r2*r0)^4")#4#64
ReflexibleManiplex([ 8, 8 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#64
ReflexibleManiplex([ 16, 4 ], "(r0*r1)^7*r2*r0*r1*r2,(r1*r0*r1*r2)^2")#16#64
ReflexibleManiplex([ 16, 16 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^6,(r2*r0)^2")#4#64
ReflexibleManiplex([ 4, 16 ], "(r1*r0*r1*r2)^2,(r2*r1)^3*r0*(r2*r1)^5*r0")#16#64
ReflexibleManiplex([ 9, 9 ], "(r1*r0)^2*(r2*r1)^2*r0*r2,(r2*r0)^2")#4#72
ReflexibleManiplex([ 20, 4 ], "r1*r0*r1*((r0*r1)^3*r2)^2*(r0*r1)^2*r0,(r1*r0*r1*r2)^2")#10#80
ReflexibleManiplex([ 4, 20 ], "(r1*r0*r1*r2)^2,r2*r1*r0*(r2*r1)^9*r0")#10#80
ReflexibleManiplex([ 10, 20 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#80
ReflexibleManiplex([ 20, 10 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^8")#4#80
ReflexibleManiplex([ 6, 21 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^5*r0")#14#84
ReflexibleManiplex([ 14, 21 ], "(r1*r0)^4*(r1*r2)^3,((r1*r0)^2*r2)^2")#6#84
ReflexibleManiplex([ 6, 14 ], "(r1*r0*r1*r2)^2,r2*r1*(r2*r1*r0)^2*(r2*r1)^3*r0*r2*r1")#21#84
ReflexibleManiplex([ 14, 6 ], "(r0*r1)^3*r2*(r0*r1)^3*r0*r2*r1*r2,(r1*r0*r1*r2)^2")#21#84
ReflexibleManiplex([ 21, 6 ], "((r1*r0)^2*r1*r2)^2,(r1*r0)^2*r2*(r1*r0)^5*r2,((r1*r2)^2*r0)^2")#14#84
ReflexibleManiplex([ 21, 14 ], "r1*r0*(r1*r0*r1*r2)^2*(r1*r0)^2,((r1*r2)^2*r0)^2")#6#84
ReflexibleManiplex([ 12, 8 ], "(r1*r0*r1*r2)^2,r1*r2*(r0*r1)^2*(r0*r1*r2)^3*r0")#24#96
ReflexibleManiplex([ 24, 8 ], "(r1*r0)^5*r2*r1*r0*r2,((r1*r2)^2*r0)^2")#12#96
ReflexibleManiplex([ 24, 8 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r2*(r1*r0)^3)^2,((r1*r2)^2*r0)^2")#6#96
ReflexibleManiplex([ 24, 4 ], "(r0*r1)^5*r2*(r0*r1)^7*r2,(r1*r0*r1*r2)^2")#24#96
ReflexibleManiplex([ 6, 8 ], "r2*r0*(r1*r2)^3*(r0*r1)^2,(r2*(r1*r0)^2*r1)^2")#12#96
ReflexibleManiplex([ 12, 8 ], "(r1*r0)^2*r2*r1*r0*(r1*r2)^2,(r2*r0)^2,(r2*(r1*r2*r0)^2*r1)^2")#6#96
ReflexibleManiplex([ 12, 8 ], "r0*(r1*r0*r2)^2*r1*r2,(r1*r0*r1*r2*r1*r0)^2,(r2*r0)^2")#3#96
ReflexibleManiplex([ 8, 12 ], "(r1*r0*r1*r2)^2,r2*(r1*r2*r0)^4*r1*r2*r1")#24#96
ReflexibleManiplex([ 8, 24 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*r2*r1")#12#96
ReflexibleManiplex([ 8, 24 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#96
ReflexibleManiplex([ 4, 24 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*r2*r1*r2*r0")#24#96
ReflexibleManiplex([ 8, 6 ], "(r0*r1)^2*(r0*r1*r2)^2*r1*r2")#12#96
ReflexibleManiplex([ 8, 12 ], "(r0*(r1*r0*r2)^2*r1)^2,r2*r1*r2*r0*r1*r2*(r1*r0)^2*r1")#6#96
ReflexibleManiplex([ 8, 12 ], "(r0*r2*r1)^3,(r1*r0*(r1*r2)^2)^2,(r2*r0)^2")#3#96
ReflexibleManiplex([ 6, 24 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*(r0*r2*r1)^2*(r2*r1)^2")#8#96
ReflexibleManiplex([ 12, 24 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^4*r1*r0*r1*r0")#8#96
ReflexibleManiplex([ 12, 12 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#96
ReflexibleManiplex([ 24, 12 ], "((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^4")#8#96
ReflexibleManiplex([ 24, 6 ], "(r0*r1)^5*r2*r0*r1*r0*r2*r1*r0*r1,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#8#96
ReflexibleManiplex([ 24, 24 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^10,(r2*r0)^2")#4#96
ReflexibleManiplex([ 6, 12 ], "r2*(r1*r2*r0)^2*r1*r2*r1*r0*r1")#8#96
ReflexibleManiplex([ 12, 6 ], "r2*r1*r0*(r1*r0*r2)^2*r1*r0*r1")#8#96
ReflexibleManiplex([ 12, 12 ], "(r1*r2)^2*(r1*r0)^3*r1*r2,(r2*r1*r0*r1)^3")#4#96
